text,label
"check my balance",balance_inquiry
"how can i check my balance",balance_inquiry
"view my balance",balance_inquiry
"my balance",balance_inquiry
"balance inquiry",balance_inquiry
"current balance",balance_inquiry
"remaining balance",balance_inquiry
"account balance",balance_inquiry
"查看余额",balance_inquiry
"查余额",balance_inquiry
"余额",balance_inquiry
"我的余额",balance_inquiry
"当前余额",balance_inquiry
"الرصيد",balance_inquiry
"كيف أتحقق من الرصيد",balance_inquiry
"رصيد الحساب",balance_inquiry
"display my balance",balance_inquiry
"see my balance",balance_inquiry
"look at my balance",balance_inquiry
"check my credit",balance_inquiry
"check my account balance",balance_inquiry
"check my wallet",balance_inquiry
"chek my balance",balance_inquiry
"check my balnace",balance_inquiry
"check my balance?",balance_inquiry
"please check my balance",balance_inquiry
"can i check my balance?",balance_inquiry
"i want to check my balance",balance_inquiry
"i need to check my balance",balance_inquiry
"how can i check my account balance",balance_inquiry
"can i check my balance",balance_inquiry
"how can i check my credit",balance_inquiry
"how am i able to check my balance",balance_inquiry
"how can i look at my balance",balance_inquiry
"help me check my balance",balance_inquiry
"how is it possible to check my balance",balance_inquiry
"how can i see my balance",balance_inquiry
"how can i check my wallet",balance_inquiry
"how do i check my balance",balance_inquiry
"how can i display my balance",balance_inquiry
"how may i check my balance",balance_inquiry
"how can i chcek my balance",balance_inquiry
"how can i check my balnace",balance_inquiry
"how can i check my balance?",balance_inquiry
"please how can i check my balance",balance_inquiry
"view my wallet",balance_inquiry
"view my remaining balance",balance_inquiry
"view my credit",balance_inquiry
"view my balnace",balance_inquiry
"view my balance?",balance_inquiry
"please view my balance",balance_inquiry
"can you show me my balance",balance_inquiry
"let me view my balance",balance_inquiry
"my wallet",balance_inquiry
"my credit",balance_inquiry
"my account balance",balance_inquiry
"my balnace",balance_inquiry
"my balance?",balance_inquiry
"please my balance",balance_inquiry
"wallet inquiry",balance_inquiry
"account balance inquiry",balance_inquiry
"remaining balance inquiry",balance_inquiry
"balence inquiry",balance_inquiry
"balance inquiry?",balance_inquiry
"please balance inquiry",balance_inquiry
"current credit",balance_inquiry
"current remaining balance",balance_inquiry
"current wallet",balance_inquiry
"current balence",balance_inquiry
"current balance?",balance_inquiry
"please current balance",balance_inquiry
"remaining wallet",balance_inquiry
"unused balance",balance_inquiry
"remaining account balance",balance_inquiry
"remaining remaining balance",balance_inquiry
"left balance",balance_inquiry
"available balance",balance_inquiry
"remaining balence",balance_inquiry
"remaing balance",balance_inquiry
"remaining balance?",balance_inquiry
"please remaining balance",balance_inquiry
"mobile account balance",balance_inquiry
"account account balance",balance_inquiry
"account wallet",balance_inquiry
"phone account balance",balance_inquiry
"account credit",balance_inquiry
"account balnace",balance_inquiry
"accout balance",balance_inquiry
"account balance?",balance_inquiry
"please account balance",balance_inquiry
"查看话费余额",balance_inquiry
"查看剩余话费",balance_inquiry
"查剩余话费",balance_inquiry
"查话费余额",balance_inquiry
"话费余额",balance_inquiry
"剩余话费",balance_inquiry
"我的话费余额",balance_inquiry
"我的账户余额",balance_inquiry
"我的剩余话费",balance_inquiry
"当前剩余话费",balance_inquiry
"当前账户余额",balance_inquiry
"check my data usage",data_usage_query
"how much data do i have left",data_usage_query
"remaining data",data_usage_query
"data left",data_usage_query
"my data usage",data_usage_query
"check my data package is enough or not",data_usage_query
"is my data package enough",data_usage_query
"how much data remaining",data_usage_query
"data balance",data_usage_query
"check data balance",data_usage_query
"remaining internet data",data_usage_query
"my data consumption",data_usage_query
"data usage check",data_usage_query
"show my data usage",data_usage_query
"view data usage",data_usage_query
"data package status",data_usage_query
"how much data have i used",data_usage_query
"data remaining this month",data_usage_query
"check my internet usage",data_usage_query
"mobile data usage",data_usage_query
"am i running out of data",data_usage_query
"data package remaining",data_usage_query
"how many gb left",data_usage_query
"is my data running low",data_usage_query
"查询流量",data_usage_query
"剩余流量",data_usage_query
"流量还剩多少",data_usage_query
"查流量",data_usage_query
"我的流量",data_usage_query
"流量使用情况",data_usage_query
"当前流量",data_usage_query
"流量余额",data_usage_query
"数据流量查询",data_usage_query
"本月流量",data_usage_query
"流量剩余查询",data_usage_query
"查看流量使用",data_usage_query
"流量消耗",data_usage_query
"还有多少流量",data_usage_query
"流量不够了吗",data_usage_query
"استخدام البيانات",data_usage_query
"البيانات المتبقية",data_usage_query
"كم البيانات المتبقية",data_usage_query
"استهلاك البيانات",data_usage_query
"كم GB متبقي",data_usage_query
"check my cellular data usage",data_usage_query
"check my data utilization",data_usage_query
"check my data plan usage",data_usage_query
"check my data used",data_usage_query
"look at my data usage",data_usage_query
"check my data consumption",data_usage_query
"view my data usage",data_usage_query
"display my data usage",data_usage_query
"check my mobile data usage",data_usage_query
"chcek my data usage",data_usage_query
"check my data usage?",data_usage_query
"please check my data usage",data_usage_query
"can i check my data usage?",data_usage_query
"i want to check my data usage",data_usage_query
"i need to check my data usage",data_usage_query
"what's my data do i have left",data_usage_query
"tell me my data do i have left",data_usage_query
"how much data plan do i have left",data_usage_query
"how much mobile data do i have left",data_usage_query
"how much internet data do i have left",data_usage_query
"how many data do i have left",data_usage_query
"how much data do i have left?",data_usage_query
"please how much data do i have left",data_usage_query
"remaining mobile data",data_usage_query
"still have data",data_usage_query
"unused data",data_usage_query
"left data",data_usage_query
"remaining cellular data",data_usage_query
"remainning data",data_usage_query
"remaining data?",data_usage_query
"please remaining data",data_usage_query
"mobile data left",data_usage_query
"data plan left",data_usage_query
"internet data left",data_usage_query
"data left?",data_usage_query
"please data left",data_usage_query
"my mobile data usage",data_usage_query
"my data used",data_usage_query
"my data plan usage",data_usage_query
"my cellular data usage",data_usage_query
"my data utilization",data_usage_query
"my data usage?",data_usage_query
"please my data usage",data_usage_query
"check my data plan is enough or not",data_usage_query
"check my data bundle is enough or not",data_usage_query
"check my data data package is enough or not",data_usage_query
"look at my data package is enough or not",data_usage_query
"check my data package is running low or not",data_usage_query
"check my mobile data package is enough or not",data_usage_query
"check my cellular data package is enough or not",data_usage_query
"check my data plan package is enough or not",data_usage_query
"see my data package is enough or not",data_usage_query
"check my data package is adequate or not",data_usage_query
"view my data package is enough or not",data_usage_query
"check my data package is sufficient or not",data_usage_query
"chek my data package is enough or not",data_usage_query
"check my data package is enouhg or not",data_usage_query
"check my data pakage is enough or not",data_usage_query
"check my data package is enough or not?",data_usage_query
"please check my data package is enough or not",data_usage_query
"can i check my data package is enough or not?",data_usage_query
"i want to check my data package is enough or not",data_usage_query
"i need to check my data package is enough or not",data_usage_query
"is my cellular data package enough",data_usage_query
"is my data plan package enough",data_usage_query
"is my data package adequate",data_usage_query
"is my mobile data package enough",data_usage_query
"is my data data package enough",data_usage_query
"is my data package sufficient",data_usage_query
"is my data plan enough",data_usage_query
"is my data package running out",data_usage_query
"is my data bundle enough",data_usage_query
"is my data package enouhg",data_usage_query
"is my data pakg enough",data_usage_query
"is my data package enough?",data_usage_query
"please is my data package enough",data_usage_query
"how many data remaining",data_usage_query
"how much data plan remaining",data_usage_query
"how much internet data remaining",data_usage_query
"how much data available",data_usage_query
"how much mobile data remaining",data_usage_query
"what is my data remaining",data_usage_query
"how much data left",data_usage_query
"what's my data remaining",data_usage_query
"how much data still have",data_usage_query
"how much data remainig",data_usage_query
"how much data remaining?",data_usage_query
"please how much data remaining",data_usage_query
"data account balance",data_usage_query
"cellular data balance",data_usage_query
"data remaining balance",data_usage_query
"internet data balance",data_usage_query
"data credit",data_usage_query
"data plan balance",data_usage_query
"data balnace",data_usage_query
"data balance?",data_usage_query
"please data balance",data_usage_query
"see data balance",data_usage_query
"check data plan balance",data_usage_query
"check data account balance",data_usage_query
"check data remaining balance",data_usage_query
"check data credit",data_usage_query
"display data balance",data_usage_query
"check internet data balance",data_usage_query
"view data balance",data_usage_query
"check cellular data balance",data_usage_query
"chek data balance",data_usage_query
"check data balanc",data_usage_query
"check data balance?",data_usage_query
"please check data balance",data_usage_query
"can i check data balance?",data_usage_query
"i want to check data balance",data_usage_query
"i need to check data balance",data_usage_query
"still have internet data",data_usage_query
"remaining internet mobile data",data_usage_query
"remaining internet internet data",data_usage_query
"unused internet data",data_usage_query
"left internet data",data_usage_query
"remaining internet cellular data",data_usage_query
"remainig internet data",data_usage_query
"remaining internat data",data_usage_query
"remaining internet data?",data_usage_query
"please remaining internet data",data_usage_query
"my cellular data consumption",data_usage_query
"my data plan consumption",data_usage_query
"my internet data consumption",data_usage_query
"my data consumption?",data_usage_query
"please my data consumption",data_usage_query
"data utilization check",data_usage_query
"cellular data usage check",data_usage_query
"data usage show",data_usage_query
"data used check",data_usage_query
"mobile data usage check",data_usage_query
"data usage view",data_usage_query
"data usage look at",data_usage_query
"data consumption check",data_usage_query
"data plan usage check",data_usage_query
"data usage chekc",data_usage_query
"data usage check?",data_usage_query
"please data usage check",data_usage_query
"show my data used",data_usage_query
"show my cellular data usage",data_usage_query
"show my data utilization",data_usage_query
"show my data plan usage",data_usage_query
"show my mobile data usage",data_usage_query
"show my data consumption",data_usage_query
"show my data usage?",data_usage_query
"please show my data usage",data_usage_query
"could you show my data usage?",data_usage_query
"view data plan usage",data_usage_query
"view mobile data usage",data_usage_query
"view internet data usage",data_usage_query
"view data consumption",data_usage_query
"view data utilization",data_usage_query
"view data used",data_usage_query
"view data usage?",data_usage_query
"please view data usage",data_usage_query
"can you show me data usage",data_usage_query
"let me view data usage",data_usage_query
"data data package status",data_usage_query
"cellular data package status",data_usage_query
"data plan status",data_usage_query
"data bundle status",data_usage_query
"internet data package status",data_usage_query
"data plan package status",data_usage_query
"data pakcage status",data_usage_query
"data package status?",data_usage_query
"please data package status",data_usage_query
"what is my data have i used",data_usage_query
"how much mobile data have i used",data_usage_query
"tell me my data have i used",data_usage_query
"how much cellular data have i used",data_usage_query
"how many data have i used",data_usage_query
"how much data plan have i used",data_usage_query
"how much data have i used?",data_usage_query
"please how much data have i used",data_usage_query
"data available this month",data_usage_query
"internet data remaining this month",data_usage_query
"data still have this month",data_usage_query
"data left this month",data_usage_query
"data plan remaining this month",data_usage_query
"mobile data remaining this month",data_usage_query
"data remainning this month",data_usage_query
"data remaining this month?",data_usage_query
"please data remaining this month",data_usage_query
"check my internet used",data_usage_query
"check my internet consumption",data_usage_query
"show my internet usage",data_usage_query
"check my internet utilization",data_usage_query
"see my internet usage",data_usage_query
"view my internet usage",data_usage_query
"chekc my internet usage",data_usage_query
"check my intrenet usage",data_usage_query
"check my internet usage?",data_usage_query
"please check my internet usage",data_usage_query
"can i check my internet usage?",data_usage_query
"i want to check my internet usage",data_usage_query
"i need to check my internet usage",data_usage_query
"mobile data utilization",data_usage_query
"mobile cellular data usage",data_usage_query
"mobile internet data usage",data_usage_query
"mobile data used",data_usage_query
"mobile data consumption",data_usage_query
"mobile data plan usage",data_usage_query
"mobile data usage?",data_usage_query
"please mobile data usage",data_usage_query
"am i running out of data plan",data_usage_query
"am i running out of cellular data",data_usage_query
"am i running out of mobile data",data_usage_query
"am i running out of data?",data_usage_query
"please am i running out of data",data_usage_query
"cellular data package remaining",data_usage_query
"data package unused",data_usage_query
"data plan package remaining",data_usage_query
"data package left",data_usage_query
"data bundle remaining",data_usage_query
"data data package remaining",data_usage_query
"data package still have",data_usage_query
"data plan remaining",data_usage_query
"mobile data package remaining",data_usage_query
"data package remainning",data_usage_query
"data pakcage remaining",data_usage_query
"data package remaining?",data_usage_query
"please data package remaining",data_usage_query
"how many gb left?",data_usage_query
"please how many gb left",data_usage_query
"is my mobile data running low",data_usage_query
"is my internet data running low",data_usage_query
"is my data plan running low",data_usage_query
"is my data running low?",data_usage_query
"please is my data running low",data_usage_query
"帮我查流量",data_usage_query
"查询移动数据",data_usage_query
"看一下流量",data_usage_query
"查询数据流量",data_usage_query
"查询网络流量",data_usage_query
"查看流量",data_usage_query
"未用流量",data_usage_query
"还有流量",data_usage_query
"剩余移动数据",data_usage_query
"剩余上网流量",data_usage_query
"剩下流量",data_usage_query
"剩余网络流量",data_usage_query
"流量还剩多少了",data_usage_query
"流量还剩有多少",data_usage_query
"数据流量还剩多少",data_usage_query
"流量还剩几多",data_usage_query
"网络流量还剩多少",data_usage_query
"上网流量还剩多少",data_usage_query
"查网络流量",data_usage_query
"查移动数据",data_usage_query
"查上网流量",data_usage_query
"我的上网流量",data_usage_query
"我的网络流量",data_usage_query
"我的数据流量",data_usage_query
"数据流量使用情况",data_usage_query
"上网流量使用情况",data_usage_query
"移动数据使用情况",data_usage_query
"当前数据流量",data_usage_query
"当前移动数据",data_usage_query
"当前网络流量",data_usage_query
"网络流量余额",data_usage_query
"流量剩余话费",data_usage_query
"移动数据余额",data_usage_query
"流量话费余额",data_usage_query
"数据流量余额",data_usage_query
"数据上网流量查询",data_usage_query
"数据流量查看",data_usage_query
"数据流量查",data_usage_query
"数据网络流量查询",data_usage_query
"数据流量看一下",data_usage_query
"数据数据流量查询",data_usage_query
"本月移动数据",data_usage_query
"本月数据流量",data_usage_query
"本月上网流量",data_usage_query
"上网流量剩余查询",data_usage_query
"流量还有查询",data_usage_query
"流量剩余查",data_usage_query
"流量剩余查看",data_usage_query
"移动数据剩余查询",data_usage_query
"流量未用查询",data_usage_query
"流量剩余看一下",data_usage_query
"数据流量剩余查询",data_usage_query
"流量可用查询",data_usage_query
"查看上网流量使用",data_usage_query
"查看移动数据使用",data_usage_query
"查看网络流量使用",data_usage_query
"数据流量消耗",data_usage_query
"网络流量消耗",data_usage_query
"上网流量消耗",data_usage_query
"还有几多流量",data_usage_query
"还有多少上网流量",data_usage_query
"还有多少网络流量",data_usage_query
"还有有多少流量",data_usage_query
"还有多少了流量",data_usage_query
"还有多少数据流量",data_usage_query
"网络流量不够了吗",data_usage_query
"上网流量不够了吗",data_usage_query
"数据流量不够了吗",data_usage_query
"recharge my account",recharge_account
"how do i recharge my account",recharge_account
"recharge account",recharge_account
"top up my account",recharge_account
"top up",recharge_account
"how to recharge",recharge_account
"充值",recharge_account
"充话费",recharge_account
"重新充值",recharge_account
"怎么充值",recharge_account
"我要充值",recharge_account
"اعادة شحن",recharge_account
"شحن الحساب",recharge_account
"كيف أعيد شحن",recharge_account
"recharge my my account",recharge_account
"recharge my mobile account",recharge_account
"load my account",recharge_account
"refill my account",recharge_account
"add credit to my account",recharge_account
"recharge my phone account",recharge_account
"recharj my account",recharge_account
"recharge my accout",recharge_account
"recharge my account?",recharge_account
"please recharge my account",recharge_account
"how do i add credit to my account",recharge_account
"how do i recharge my phone account",recharge_account
"how do i refill my account",recharge_account
"how do i top up my account",recharge_account
"how do i recharge my my account",recharge_account
"how do i recharge my mobile account",recharge_account
"how do i rechrge my account",recharge_account
"how do i recharge my acount",recharge_account
"how do i recharge my account?",recharge_account
"please how do i recharge my account",recharge_account
"recharge phone account",recharge_account
"add credit to account",recharge_account
"top up account",recharge_account
"recharge mobile account",recharge_account
"load account",recharge_account
"recharj account",recharge_account
"recharge accont",recharge_account
"recharge account?",recharge_account
"please recharge account",recharge_account
"top up my phone account",recharge_account
"top up my mobile account",recharge_account
"top up my my account",recharge_account
"top up my accont",recharge_account
"top up my account?",recharge_account
"please top up my account",recharge_account
"top up?",recharge_account
"please top up",recharge_account
"how to load",recharge_account
"how to top up",recharge_account
"how to refill",recharge_account
"how to rechrge",recharge_account
"how to recharge?",recharge_account
"please how to recharge",recharge_account
"重新缴费",recharge_account
"重新续费",recharge_account
"重新充钱",recharge_account
"怎么充钱",recharge_account
"怎么缴费",recharge_account
"怎么续费",recharge_account
